SKU,Nombre,Categoria,Stock Actual,Stock Minimo,Fecha Vencimiento,Estado
"00001","Laptop","Electronica",2,1,"2001-03-20","VENCIMIENTO_PROXIMO"
"PRUEBA0001","Amoxicilina","Antibioticos",1000,25,"2026-06-10","VENCIMIENTO_PROXIMO"
"PRUEBA0002","Amoxicilina","Antibioticos",500,25,"2026-06-10","VENCIMIENTO_PROXIMO"
"VENC-TEST","Producto próximo a vencer","Prueba",20,5,"2026-03-10","VENCIMIENTO_PROXIMO"
"ESDFSDF","Prueba","General",1,6,"2026-05-13","STOCK_BAJO"
"PARA-500","Paracetamol 500mg (caja 50)","Analgésicos",30,40,"2026-04-15","STOCK_BAJO"
"ALCOHOL-70","Alcohol isopropílico 70% (1L)","Insumos",80,20,"2026-09-30","OK"
"AMOX-500","Amoxicilina 500mg (caja 20)","Antibióticos",150,50,"2027-06-30","OK"
"IBUP-400","Ibuprofeno 400mg (caja 30)","Analgésicos",200,80,"2026-12-31","OK"
"JERINGAS-5","Jeringas 5ml (caja 100)","Insumos",500,100,"N/A","OK"
"LORAT-10","Loratadina 10mg (caja 20)","Antialérgicos",60,25,"N/A","OK"
"MED0004","Ashwaghanda","Medicamento",50,2,"2028-05-05","OK"
"MED0005","Paracetamol","Medicamento",50,2,"2028-05-05","OK"
"MED001","Medicamento","Prueba",50,10,"2028-04-06","OK"
"METF-850","Metformina 850mg (caja 30)","Antidiabéticos",90,30,"2027-01-15","OK"
"TEST001","Producto Test","Prueba",300,10,"N/A","OK"
