SKU,Nombre,Categoria,Stock Actual,Stock Minimo,Fecha Vencimiento,Estado
"REACTIVO-A","Reactivo tipo A (500g)","Reactivos",10,15,"2026-03-10","STOCK_BAJO"
"ALC-70","Alcohol isopropílico 70% (1L)","Insumos",30,20,"2026-04-15","OK"
"BATA-M","Bata de laboratorio talla M","Protección",40,20,"N/A","OK"
"GUANTE-L","Guantes de látex talla L","Protección",120,50,"2027-06-30","OK"
"MASK-N95","Mascarilla N95","Protección",200,100,"2026-12-31","OK"
"MIC-ANALYT","Microscopio analítico","Equipos",3,1,"N/A","OK"
"PIPETA-1ML","Pipeta 1 mL","Vidriería",80,30,"N/A","OK"
"TEST-001","Producto de Prueba","General",200,10,"N/A","OK"
"TESTQ-001","Producto de Prueba","General",100,10,"N/A","OK"
"TUBO-CENT","Tubos de centrífuga (caja 100)","Consumibles",500,100,"N/A","OK"
